0	-nan	-nan	-nan	-nan	-nan	-nan
153	0.965234	0.38614	0.578978	0.543696	0.441666	0.760133
154	0.96454	0.385908	0.578747	0.533053	0.446988	0.764298
155	0.96454	0.385793	0.578747	0.537681	0.448607	0.767421
156	0.964424	0.385793	0.578631	0.537681	0.448954	0.767305
157	0.96454	0.385793	0.578747	0.538953	0.44745	0.768115
158	0.96454	0.385908	0.578747	0.53849	0.448376	0.767421
159	0.964424	0.385793	0.578516	0.537334	0.448376	0.767653
160	0.96454	0.385793	0.578747	0.537796	0.448607	0.767305
161	0.964424	0.385793	0.578747	0.538028	0.448723	0.768231
162	0.96454	0.385793	0.578631	0.537218	0.448144	0.767537
163	0.96454	0.385793	0.578747	0.537102	0.44907	0.767999
164	0.96454	0.385908	0.578631	0.538028	0.447797	0.767884
165	0.964424	0.385793	0.578747	0.535483	0.449417	0.767999
166	0.96454	0.385793	0.578631	0.538143	0.448607	0.767884
167	0.96454	0.385793	0.578747	0.536755	0.448029	0.768578
168	0.96454	0.385793	0.578631	0.537565	0.448838	0.767884
169	0.964424	0.385908	0.578631	0.537449	0.448838	0.768462
170	0.964424	0.385793	0.578747	0.536177	0.448029	0.768231
171	0.96454	0.385793	0.578631	0.536871	0.448491	0.768347
172	0.964656	0.385793	0.578863	0.536177	0.446293	0.766496
173	0.965234	0.38614	0.579094	0.527501	0.432528	0.761059
174	0.964887	0.385908	0.578978	0.530624	0.431371	0.764529
175	0.964887	0.385908	0.578863	0.529583	0.434147	0.767884
176	0.964771	0.385908	0.578863	0.531203	0.435651	0.769619
177	0.964771	0.385908	0.578863	0.530971	0.435419	0.769735
178	0.964887	0.386024	0.578978	0.529467	0.435767	0.769156
179	0.965003	0.38614	0.578978	0.52484	0.435419	0.766149
180	0.964887	0.385793	0.578863	0.525881	0.435767	0.765686
181	0.964771	0.386024	0.578747	0.527385	0.435419	0.766149
182	0.964887	0.386024	0.578978	0.52646	0.434263	0.766264
183	0.965003	0.386024	0.578978	0.527385	0.435767	0.766033
184	0.965118	0.386024	0.579094	0.527616	0.434031	0.766033
185	0.965003	0.386024	0.578978	0.527385	0.435535	0.76638
186	0.965003	0.38614	0.578863	0.527269	0.4338	0.766264
187	0.965003	0.386024	0.578978	0.528426	0.434378	0.766033
188	0.965118	0.38614	0.578978	0.527732	0.435188	0.766958
189	0.965118	0.38614	0.579094	0.528311	0.434263	0.766264
190	0.965003	0.386024	0.578863	0.529467	0.433684	0.766611
191	0.965118	0.38614	0.578978	0.527616	0.434031	0.767074
192	0.965118	0.38614	0.578978	0.530046	0.437964	0.767999
193	0.965003	0.385908	0.578978	0.521254	0.444558	0.76557
194	0.964424	0.385908	0.578747	0.51628	0.449185	0.765455
195	0.96454	0.385793	0.578747	0.518015	0.449532	0.766149
196	0.96454	0.385793	0.578747	0.518015	0.448723	0.76638
197	0.96454	0.385793	0.578631	0.519519	0.44907	0.767305
198	0.964656	0.386024	0.578631	0.517784	0.450458	0.767421
199	0.96454	0.385908	0.578747	0.519403	0.449417	0.768231
200	0.964771	0.386024	0.578631	0.519519	0.450227	0.768578
201	0.964656	0.385908	0.578863	0.518131	0.450921	0.768347
202	0.964771	0.385908	0.578747	0.519982	0.449764	0.769156
203	0.964771	0.386024	0.578747	0.519519	0.450227	0.769041
204	0.964771	0.385908	0.578863	0.520907	0.451615	0.769619
205	0.964887	0.386024	0.578863	0.519866	0.450689	0.769041
206	0.964887	0.385908	0.578978	0.51975	0.450574	0.769619
207	0.964887	0.385908	0.578978	0.522064	0.450805	0.770429
208	0.965003	0.386024	0.578863	0.520329	0.451036	0.770082
209	0.964887	0.385908	0.579094	0.520444	0.451499	0.770082
210	0.964887	0.386024	0.578863	0.52137	0.450805	0.769966
211	0.965003	0.385908	0.579094	0.52137	0.450921	0.77066
212	0.964887	0.385908	0.578978	0.521254	0.451152	0.770545
213	0.96535	0.38614	0.57921	0.516511	0.452309	0.760596
214	0.964656	0.385793	0.578863	0.51894	0.46191	0.74602
215	0.96454	0.385793	0.578747	0.526922	0.460985	0.756663
216	0.964771	0.385908	0.578863	0.52912	0.459712	0.758282
217	0.964771	0.385908	0.578863	0.529699	0.460291	0.758861
218	0.964771	0.385908	0.578863	0.527732	0.459018	0.758745
219	0.964887	0.385908	0.578863	0.528889	0.460638	0.75782
220	0.964771	0.385908	0.578863	0.528426	0.459712	0.758861
221	0.964887	0.386024	0.578978	0.527154	0.458903	0.759092
222	0.965003	0.386024	0.578978	0.527964	0.460059	0.759092
223	0.964887	0.385908	0.578978	0.527385	0.459597	0.758745
224	0.965003	0.385908	0.578978	0.526228	0.457399	0.760249
225	0.965003	0.385908	0.579094	0.527848	0.460291	0.758745
226	0.965003	0.386024	0.578978	0.526807	0.459944	0.759671
227	0.965003	0.386024	0.579094	0.526575	0.458093	0.760018
228	0.965234	0.386024	0.579094	0.526922	0.458093	0.759902
229	0.96535	0.38614	0.57921	0.527385	0.459365	0.760133
230	0.965118	0.385908	0.57921	0.529005	0.454275	0.756547
231	0.964656	0.385793	0.578978	0.527848	0.451499	0.76291
232	0.964771	0.385677	0.578978	0.530508	0.452193	0.763951
233	0.964887	0.385793	0.579094	0.531665	0.451962	0.764992
234	0.964771	0.385793	0.579094	0.531434	0.452772	0.765339
235	0.965003	0.385793	0.57921	0.531665	0.45254	0.764298
236	0.964887	0.385908	0.578978	0.531897	0.452656	0.766033
237	0.964887	0.385793	0.579094	0.531665	0.453119	0.76476
238	0.965003	0.385793	0.579094	0.532591	0.452424	0.765802
239	0.964887	0.385793	0.579325	0.532359	0.45335	0.764992
240	0.965118	0.385793	0.57921	0.532244	0.454044	0.766727
241	0.965118	0.385793	0.57921	0.532822	0.452887	0.766149
242	0.965118	0.385908	0.579325	0.532359	0.45335	0.765802
243	0.965118	0.385793	0.57921	0.532475	0.453234	0.766727
244	0.965118	0.385793	0.579441	0.533516	0.455201	0.76719
245	0.965234	0.385908	0.579441	0.532938	0.454275	0.766843
246	0.96535	0.385793	0.57921	0.532938	0.45416	0.767074
247	0.965234	0.386024	0.579441	0.533979	0.453928	0.767421
248	0.965697	0.386256	0.579441	0.529467	0.452887	0.765108
249	0.965118	0.386024	0.579094	0.52646	0.44745	0.768231
