0	-nan	-nan	-nan	-nan	-nan	-nan
193	0.780377	0.289778	0.331539	0.38695	0.227658	0.5784
194	0.706573	0.289778	0.332349	0.384752	0.239458	0.577359
195	0.679273	0.271501	0.329457	0.389495	0.231129	0.554107
196	0.781881	0.289547	0.330498	0.395047	0.226501	0.572847
197	0.786855	0.290704	0.331308	0.393428	0.228931	0.577937
198	0.786046	0.290935	0.33177	0.392502	0.231823	0.577128
199	0.784773	0.290588	0.332349	0.392155	0.233211	0.579557
200	0.78431	0.290241	0.33258	0.391692	0.234368	0.579672
201	0.779683	0.290241	0.332811	0.391924	0.235062	0.578863
202	0.780956	0.290125	0.333274	0.392502	0.235987	0.579325
203	0.780377	0.290241	0.333852	0.392734	0.236219	0.579441
204	0.777948	0.29001	0.333737	0.391692	0.236334	0.578631
205	0.767999	0.288737	0.333737	0.390304	0.237028	0.578284
206	0.764992	0.286192	0.331539	0.37596	0.23645	0.575277
207	0.780956	0.290588	0.332464	0.375266	0.236219	0.579788
208	0.782922	0.290357	0.33339	0.374919	0.238185	0.580251
209	0.780377	0.290588	0.332811	0.377927	0.238416	0.578978
210	0.779567	0.290125	0.3342	0.375729	0.239458	0.578978
211	0.779336	0.290125	0.333274	0.376191	0.238185	0.578747
212	0.779336	0.290241	0.333968	0.378852	0.240267	0.578863
213	0.741856	0.289778	0.334431	0.373299	0.239458	0.578631
214	0.76291	0.289663	0.338248	0.370407	0.237491	0.578978
215	0.769272	0.289894	0.335125	0.367862	0.227774	0.578631
216	0.783269	0.290472	0.335472	0.368788	0.228121	0.579094
217	0.782575	0.290125	0.335935	0.370407	0.229162	0.5784
218	0.781534	0.290472	0.336282	0.370639	0.22974	0.57921
219	0.78165	0.290125	0.336976	0.371448	0.230897	0.578747
220	0.779799	0.290125	0.337092	0.373299	0.230319	0.578516
221	0.734568	0.285151	0.337439	0.367631	0.231707	0.571459
222	0.770313	0.291398	0.337901	0.368556	0.232632	0.575508
223	0.776907	0.293017	0.337786	0.367978	0.232285	0.579904
224	0.746483	0.29001	0.335009	0.368209	0.226386	0.574814
225	0.782922	0.290472	0.332696	0.373993	0.223262	0.578978
226	0.783385	0.291282	0.334431	0.376307	0.223956	0.577012
227	0.781071	0.291167	0.3342	0.37515	0.226154	0.577822
228	0.782112	0.291282	0.334778	0.377001	0.224998	0.577359
229	0.743591	0.291861	0.331539	0.372374	0.22789	0.5784
230	0.755159	0.291051	0.333621	0.374109	0.237838	0.579904
231	0.727859	0.287696	0.330729	0.367284	0.221643	0.570187
232	0.776675	0.286192	0.332927	0.353055	0.215628	0.570302
233	0.783385	0.289894	0.333043	0.356873	0.217363	0.574814
234	0.784773	0.290588	0.333158	0.357914	0.219098	0.576433
235	0.783385	0.290357	0.333737	0.356526	0.22118	0.577706
236	0.782691	0.290472	0.333621	0.35803	0.221643	0.578169
237	0.781881	0.290472	0.333737	0.359418	0.222453	0.579094
238	0.782228	0.290357	0.333852	0.358839	0.224304	0.579094
239	0.782112	0.290125	0.333968	0.358261	0.225345	0.578747
240	0.780956	0.290588	0.333968	0.359649	0.226848	0.579325
241	0.779221	0.29001	0.3342	0.358608	0.226501	0.578747
242	0.779221	0.290241	0.334084	0.360112	0.228005	0.578631
243	0.778526	0.29001	0.333621	0.357567	0.228699	0.578747
244	0.778758	0.289778	0.334431	0.36069	0.228699	0.578284
245	0.722884	0.294984	0.334662	0.365086	0.233211	0.575971
246	0.648849	0.287002	0.325061	0.362888	0.221527	0.564287
247	0.779221	0.28839	0.329225	0.374688	0.21771	0.565444
248	0.791714	0.292208	0.328994	0.373993	0.218751	0.574467
249	0.789053	0.291514	0.328878	0.370639	0.221412	0.573773
