0	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan
132	9.68242	7.5192	21.4239	5.66832	4.99738	18.9137	4.3033	4.73131
133	9.67085	7.35725	21.5975	5.58734	5.00894	19.0062	4.25702	4.68504
134	9.67085	7.49606	21.4818	5.58734	5.00894	19.0409	4.24546	4.70818
135	9.68242	7.57704	21.4239	5.56421	5.03208	19.1219	4.18762	4.69661
136	9.68242	7.41509	21.6553	4.48838	4.07194	14.6451	3.00768	2.83416
137	9.67085	7.2647	21.2736	5.76086	4.51152	19.1913	3.90998	3.56294
138	9.68242	7.11432	10.9896	2.39458	4.96267	18.1502	2.67221	4.14134
139	9.68242	8.59502	18.8674	3.52824	5.4948	21.8057	3.57451	4.338
140	9.67085	8.66443	20.3018	3.53981	5.41382	21.6669	3.62078	4.3033
141	9.67085	8.66443	20.4754	3.7596	5.37912	21.6784	3.49354	4.29173
142	9.67085	8.69914	20.4407	3.67862	5.34442	21.4933	3.73646	4.3033
143	9.69398	8.7107	20.3597	3.71333	5.30971	21.5975	3.5051	4.338
144	9.67085	8.66443	20.3481	3.87528	5.32128	21.3545	3.71333	4.34957
145	9.65928	8.59502	20.3828	3.71333	5.25187	21.6553	3.53981	4.338
146	9.69398	8.7107	20.2556	3.92155	5.28658	21.3083	3.70176	4.32643
147	9.67085	8.676	20.325	3.93312	5.22874	21.2504	3.64392	4.34957
148	9.67085	8.73384	20.3134	3.4357	5.29814	18.8096	3.7596	4.47682
149	9.68242	8.676	20.5795	3.88685	5.55264	20.7761	4.02566	4.52309
150	9.67085	8.82638	20.3597	3.93312	5.41382	20.6026	4.16448	4.58093
151	9.67085	8.6413	20.5216	3.86371	5.40226	20.7646	4.10664	4.55779
152	9.68242	8.68757	20.3712	3.99096	5.36755	20.8918	3.94469	4.46525
153	9.67085	8.74541	20.2903	3.97939	5.29814	20.8108	3.99096	4.48838
154	9.68242	8.69914	20.3018	3.99096	5.27501	20.8224	4.0488	4.45368
155	9.65928	8.62973	20.3944	4.02566	5.25187	20.7414	4.0835	4.45368
156	9.60144	8.6413	20.325	4.03723	5.06678	20.1746	3.7249	4.45368
157	9.60144	8.56032	20.1746	3.63235	2.77632	16.5538	3.89842	1.75834
158	9.65928	4.99738	13.4999	2.42928	4.44211	11.8456	2.42928	4.14134
159	9.69398	5.69146	17.9882	3.42413	5.4601	19.0294	3.71333	5.35598
160	9.68242	7.60018	21.3545	3.69019	5.50637	20.1977	3.7943	5.39069
161	9.67085	7.62331	21.5512	3.82901	5.4601	20.2787	3.7249	5.35598
162	9.67085	7.66958	21.4471	3.84058	5.43696	20.3712	3.77117	5.2403
163	9.68242	7.70429	21.4586	3.88685	5.30971	20.2671	3.78274	5.28658
164	9.67085	7.63488	21.4702	3.99096	5.27501	20.3597	3.84058	5.19403
165	9.67085	7.62331	21.5049	4.0141	5.22874	20.325	3.81744	5.12462
166	9.68242	7.73899	21.3892	4.02566	5.21717	20.4291	3.81744	5.12462
167	9.67085	7.61174	21.528	4.23389	5.08992	20.3365	3.84058	5.05522
168	9.67085	7.61174	21.4471	4.03723	5.14776	20.672	3.80587	4.97424
169	9.68242	7.58861	21.4124	4.22232	5.04365	20.3944	3.93312	4.97424
170	9.69398	7.64645	21.4239	4.22232	5.05522	20.591	3.84058	4.8817
171	9.65928	7.63488	21.4124	4.29173	5.05522	20.6604	3.78274	4.82386
172	9.67085	7.5539	21.4933	4.15291	4.97424	20.6142	3.95626	4.84699
173	9.68242	7.62331	21.3777	4.21075	4.93954	20.672	3.92155	4.77758
174	9.68242	7.60018	21.3545	4.38427	4.97424	20.6489	3.84058	4.70818
175	9.65928	7.56547	21.4239	4.338	4.93954	20.6257	3.89842	4.69661
176	9.69398	7.54234	21.4239	4.32643	4.92797	20.7414	3.87528	4.69661
177	9.67085	7.57704	21.3545	4.32643	4.9164	20.7299	3.82901	4.6619
178	9.67085	7.60018	21.3661	4.43054	4.90483	20.1862	3.51667	4.02566
179	9.68242	7.53077	21.2157	4.19918	5.21717	19.654	2.20949	2.6375
180	9.68242	4.8817	12.9909	4.69661	5.51794	17.5718	3.30845	3.64392
181	9.67085	8.00506	18.7286	5.48323	5.71459	20.2787	3.55138	3.7943
182	9.67085	8.59502	20.1746	5.15933	5.69146	20.3365	3.59765	3.77117
183	9.67085	8.6413	20.3134	5.2403	5.64518	20.1168	3.62078	3.85214
184	9.68242	8.60659	20.406	5.18246	5.66832	20.2556	3.52824	3.77117
185	9.67085	8.61816	20.4291	5.25187	5.65675	20.1168	3.60922	3.87528
186	9.67085	6.79042	18.4972	5.28658	5.65675	18.9484	3.58608	3.88685
187	9.69398	7.54234	20.6604	5.54107	5.67989	19.5152	3.87528	3.97939
188	9.67085	7.76213	21.2967	5.47166	5.66832	19.6309	3.80587	3.87528
189	9.65928	7.8084	21.2851	5.43696	5.65675	19.7119	3.7943	3.94469
190	9.69398	7.8084	21.3083	5.44853	5.66832	19.654	3.65549	3.96782
191	9.68242	7.91251	19.0872	4.80072	5.70302	16.9356	3.40099	4.06037
192	9.65928	8.37523	20.3828	5.33285	5.784	19.4921	3.85214	4.19918
193	9.68242	8.39837	20.8802	5.34442	5.784	19.5731	3.7943	4.22232
194	9.67085	8.29426	20.8918	5.36755	5.76086	19.5499	3.85214	4.11821
195	9.68242	8.28269	20.8802	5.34442	5.72616	19.5384	3.86371	4.12978
196	9.67085	8.28269	20.8571	5.12462	5.25187	18.8211	3.48197	3.42413
197	9.68242	8.1323	20.5332	3.92155	2.90357	17.7222	1.59638	1.57325
198	9.68242	6.3624	11.8803	2.24419	4.93954	16.1489	1.02955	3.52824
199	9.67085	8.52562	18.5088	3.87528	5.77243	21.5628	1.94342	4.25702
200	9.67085	8.676	20.163	4.0835	5.72616	22.3609	2.17478	4.39584
201	9.68242	8.72227	20.4407	4.16448	5.69146	22.1296	2.29046	4.31486
202	9.67085	8.74541	20.4175	4.18762	5.61048	22.28	2.32517	4.25702
203	9.67085	8.68757	20.4869	4.24546	5.55264	22.1412	2.42928	4.25702
204	9.69398	8.68757	20.3712	4.21075	5.44853	22.199	2.45242	4.25702
205	9.65928	8.65286	20.3597	4.24546	5.41382	22.1296	2.55653	4.24546
206	9.67085	8.60659	20.3365	4.25702	5.42539	22.0023	2.6375	4.19918
207	9.69398	8.60659	20.3481	4.29173	5.32128	22.0139	2.5681	4.23389
208	9.68242	8.54875	20.3365	4.338	5.35598	21.9676	2.69534	4.15291
209	9.65928	8.61816	20.325	4.29173	5.30971	21.8867	2.73005	4.22232
210	9.67085	5.1709	19.6425	3.69019	5.36755	20.8455	2.83416	4.24546
211	9.68242	6.69787	22.037	3.73646	5.42539	22.1874	2.97298	4.40741
212	9.68242	6.88296	22.2915	3.82901	5.37912	21.9445	3.12336	4.29173
213	9.65928	6.89453	22.2106	3.80587	5.34442	22.0139	3.00768	4.3033
214	9.68242	6.92923	22.0949	3.82901	5.35598	22.1296	2.94984	4.3033
215	9.69398	6.89453	22.1296	3.88685	5.29814	21.8635	3.16963	4.29173
216	9.65928	6.87139	22.118	3.92155	5.27501	21.8635	3.13493	4.26859
217	9.67085	6.02693	18.96	3.95626	5.28658	20.4291	3.13493	4.28016
218	9.69398	6.6863	21.4818	4.19918	5.36755	21.2504	3.27374	4.41898
219	9.67085	7.2647	21.8172	4.14134	5.36755	21.4239	3.34315	4.3727
220	9.67085	7.16059	21.8635	4.17605	5.32128	21.343	3.33158	4.34957
221	9.67085	7.33411	21.7247	4.21075	5.29814	21.2967	3.32002	4.338
222	9.68242	7.04491	21.8982	4.22232	5.15933	20.9844	3.30845	3.99096
223	9.67085	4.78915	13.2454	1.78147	4.03723	16.0911	2.10538	0.659376
224	9.68242	6.11947	17.7222	2.99611	5.2056	20.5332	2.55653	2.57966
225	9.68242	6.6169	19.7928	3.29688	5.42539	23.9111	3.15806	2.81102
226	9.67085	6.84826	20.7183	3.36629	5.29814	23.6566	3.20434	3.11179
227	9.67085	7.06805	21.1	3.38942	5.35598	23.1013	3.27374	3.15806
228	9.68242	6.74414	18.6592	3.64392	5.43696	19.1219	3.4704	3.44726
229	9.68242	7.14902	20.1515	4.22232	5.56421	21.2157	3.89842	3.65549
230	9.65928	7.40352	20.9149	4.19918	5.50637	21.2736	3.92155	3.63235
231	9.67085	7.53077	21.2504	4.19918	5.51794	21.0885	3.82901	3.71333
232	9.68242	7.5192	20.8455	4.23389	5.51794	20.9265	3.89842	3.74803
233	9.68242	7.14902	16.9008	4.6272	5.62205	18.636	3.11179	3.97939
234	9.67085	7.65802	20.0126	5.02051	5.64518	20.3018	3.56294	4.09507
235	9.69398	7.83154	20.7761	4.89326	5.64518	20.2903	3.60922	4.10664
236	9.67085	7.91251	21.1926	4.92797	5.59891	20.3712	3.58608	4.12978
237	9.67085	7.94722	21.1116	5.02051	5.58734	20.3018	3.51667	4.02566
238	9.67085	7.91251	20.9728	4.8817	5.57578	20.3018	3.78274	4.0141
239	9.68242	7.86624	21.0885	4.98581	5.56421	20.3828	3.49354	4.11821
240	9.67085	7.8431	21.0885	4.98581	5.58734	20.3018	3.66706	3.96782
241	9.67085	7.83154	21.0769	4.92797	5.54107	20.2324	3.7596	4.09507
242	9.68242	6.83669	17.7684	4.9511	5.56421	19.7581	3.71333	4.07194
243	9.67085	8.3868	19.7003	5.06678	5.54107	20.4522	3.63235	4.03723
244	9.67085	8.47934	20.5216	5.05522	5.50637	20.163	3.7943	4.03723
245	9.69398	8.59502	20.4869	5.05522	5.4948	20.0473	3.78274	4.0835
246	9.67085	8.53718	19.2723	4.47682	5.51794	19.4805	3.51667	4.0141
247	9.67085	8.91893	20.0358	4.00253	5.64518	20.3134	2.53339	4.3033
248	9.67085	8.98834	20.3481	4.47682	5.66832	21.2504	2.9267	4.43054
249	9.68242	8.94206	20.3712	4.48838	5.61048	21.262	2.93827	4.38427
