11	1049796	1029552	1078716	1081608	1055580	1035336	68017	75370	75667	62400	75640	75076	1041120	75721	64510	65400	1064256	1064256	65558	1017984	68317	64825	73931	74474	44494	77523	27222	32648	30631	77735	77263	64066	60875	65086	43911	57544	57868	63646	51807	49004	30635	64194	33802	29810	49683	47388	27407	32549	57834	49641	59061	52246	60229	37358	27975	75707	43760	75950	76079	75620
12	1171260	1149570	1200180	1201626	1175598	1156800	69607	77206	77422	64094	77422	76804	1161138	77501	66179	67074	1184274	1184274	67356	1138002	70075	66547	75686	76129	46045	79343	28781	34383	32218	79633	79168	65935	62676	66923	45623	59379	59624	65404	53652	50827	32670	65935	35480	31240	51438	48933	29172	34349	59591	51358	60713	54031	62082	39092	29845	77566	45478	77774	78002	77534
13	1291278	1271034	1320198	1321644	1295616	1276818	71322	78801	79087	65776	79061	78570	1281156	79165	67900	68797	1304292	1304292	68979	1258020	71728	68287	77414	77816	47852	81160	30601	36319	33913	81414	81042	67694	64457	68500	47226	61056	61396	67171	55243	52390	34100	67724	37191	33300	53058	50799	30699	36001	61194	53058	62387	55723	63721	40702	31406	79308	47216	79594	79848	79328
14	1411296	1391052	1440216	1443108	1417080	1395390	73001	80514	80814	67419	80714	80260	1401174	80864	69550	70394	1422864	1424310	70511	1378038	73449	69785	79028	79402	49424	82860	31996	37885	35585	83214	82817	69434	66128	70222	48820	62752	63082	68830	57006	54018	35995	69404	38827	34703	54821	52204	32282	37743	62787	54593	64049	57365	65446	42397	32829	81026	48810	81301	81670	81120
15	1531314	1511070	1560234	1563126	1537098	1515408	74485	82089	82389	68980	82314	81892	1521192	82439	71092	72018	1542882	1544328	72218	1498056	75005	71467	80682	81042	50868	84572	33579	39702	37014	84935	84578	71096	67791	71846	50442	64339	64659	70454	58611	55673	37408	71009	40447	36281	56307	53687	33913	39463	64469	56196	65485	58995	66965	43838	34794	82626	50556	83001	83445	82845
16	1651332	1631088	1680252	1683144	1657116	1635426	76058	83639	83975	70541	83879	60904	1641210	84047	72667	73589	1662900	1664346	73814	1618074	76544	73113	82257	82617	52429	39974	35326	41088	38605	86639	86306	72839	69441	73283	51816	30570	44011	72078	60106	57136	39088	42898	42054	15906	50187	55314	35469	30848	65954	57825	67066	44406	68511	45324	36310	84275	52087	84683	85205	84557
17	1772796	1752552	1801716	1803162	1778580	1756890	77670	85295	85631	72163	85511	40998	1762674	85679	74347	75221	1784364	1784364	75249	1739538	78242	74569	83873	84146	54170	1446	36765	43152	40287	88500	88203	74603	71161	75088	53544	32289	32525	73843	61929	58808	40851	35534	43650	17957	27967	57075	37014	20396	67593	59443	68819	29495	70349	47113	37711	86051	53842	86507	87101	86405
18	1891368	1871124	1920288	1923180	1897152	1878354	79230	86927	87212	73759	87119	42682	1882692	87304	75898	76787	1904382	1905828	76842	1859556	79802	76166	85505	85754	55747	4338	38635	44800	41949	90294	90020	76334	72986	76735	55250	34041	34267	75601	63573	60535	42589	37243	45597	19939	29487	58608	38820	21877	69393	61152	70386	31207	72002	48670	39745	87844	55613	88281	88942	88229
19	2011386	1991142	2040306	2043198	2017170	1998372	80726	88431	88753	75277	88638	44252	2002710	88845	77437	78346	2025846	2025846	78451	1979574	81326	77800	87113	87352	57460	13014	40161	46568	43596	92059	91797	78066	74721	78452	56653	35649	35922	77302	65333	62115	44304	38931	47113	21353	31199	60341	40236	23880	70970	62813	72097	32829	73742	50337	41229	89546	57294	90006	90736	89977
20	2131404	2111160	2160324	2163216	2137188	2118390	82251	89972	90317	76762	90156	45770	2122728	90409	78946	79880	2145864	2145864	79985	2099592	82851	79334	88540	88870	59018	21151	41779	48224	45179	93731	93513	79756	76368	80090	58303	37243	37559	78972	66884	63721	45908	40598	48838	23133	32758	61894	41851	25237	72521	64270	73694	34494	75288	52034	42662	91234	58926	91652	92438	91646
